CID_MEESHOSKU_SIZE,SKU,TOTAL,
"3737898-ALC4004NAVY1-XL","ALC4004NAVY-XL","6",
"3739871-ALC4004NAVY4-XL","ALC4004NAVY-XL","6",
"3737898-ALC4004NAVY1-XS","ALC4004NAVY-XS","12",
"3739871-ALC4004NAVY4-XS","ALC4004NAVY-XS","12",
"541535-ALC4004NAVY -XS","ALC4004NAVY-XS","12",
"3738245-ALC4004NAVY2-XS","ALC4004NAVY-XS","12",
"3738245-ALC4004NAVY2-XXL","ALC4004NAVY-XXL","41",
"3737898-ALC4004NAVY1-XXL","ALC4004NAVY-XXL","41",
"3739871-ALC4004NAVY4-XXL","ALC4004NAVY-XXL","41",
"541535-ALC4004NAVY -XXL","ALC4004NAVY-XXL","41",
"3737898-ALC4005NAVY1-L","ALC4005NAVY-L","148",
"541588-ALC4005NAVY -L","ALC4005NAVY-L","148",
"3400980-TDC4005NAVYX-L","ALC4005NAVY-L","148",
"3738245-ALC4005NAVY2-L","ALC4005NAVY-L","148",
"3737898-ALC4005NAVY1-M","ALC4005NAVY-M","40",
"541588-ALC4005NAVY -M","ALC4005NAVY-M","40",
"3400980-TDC4005NAVYX-M","ALC4005NAVY-M","40",
"3738245-ALC4005NAVY2-M","ALC4005NAVY-M","40",
"541588-ALC4005NAVY -XL","ALC4005NAVY-XL","217",
"3400980-TDC4005NAVYX-XL","ALC4005NAVY-XL","217",
"3738245-ALC4005NAVY2-XL","ALC4005NAVY-XL","217",
"3737898-ALC4005NAVY1-XL","ALC4005NAVY-XL","217",
"3738245-ALC4005NAVY2-XS","ALC4005NAVY-XS","1",
"3737898-ALC4005NAVY1-XS","ALC4005NAVY-XS","1",
"541588-ALC4005NAVY -XS","ALC4005NAVY-XS","1",
"3400980-TDC4005NAVYX-XS","ALC4005NAVY-XS","1",
"541588-ALC4005NAVY -XXL","ALC4005NAVY-XXL","199",
"3400980-TDC4005NAVYX-XXL","ALC4005NAVY-XXL","199",
"3738245-ALC4005NAVY2-XXL","ALC4005NAVY-XXL","199",
"3737898-ALC4005NAVY1-XXL","ALC4005NAVY-XXL","199",
"541535-ALC4006PCH  -L","ALC4006PCH-L","17",
"3738245-ALC4006PCH1-L","ALC4006PCH-L","17",
"3739871-ALC4006PCH3-L","ALC4006PCH-L","17",
"274771-ALC4006PCH-L","ALC4006PCH-L","17",
"251211-ALC4006PCH-L","ALC4006PCH-L","17",
"274771-ALC4006PCH-M","ALC4006PCH-M","13",
"251211-ALC4006PCH-M","ALC4006PCH-M","13",
